,Company Id,PROs Culture & Values mean,PROs Work/Life Balance mean,PROs Senior Management mean,PROs Comp & Benefits mean,PROs Career Opportunities mean,CONs Culture & Values mean,CONs Work/Life Balance mean,CONs Senior Management mean,CONs Comp & Benefits mean,CONs Career Opportunities mean,PROs Culture & Values count,PROs Work/Life Balance count,PROs Senior Management count,PROs Comp & Benefits count,PROs Career Opportunities count,CONs Culture & Values count,CONs Work/Life Balance count,CONs Senior Management count,CONs Comp & Benefits count,CONs Career Opportunities count
132,232,0.5443993939393935,0.5289352272727273,0.4714044776119402,0.5819176923076921,0.5916697368421051,-0.0025004065040650347,-0.06760000000000001,-0.012223529411764718,0.02913092783505155,-0.013515254237288141,165.0,88.0,67.0,130.0,76.0,246.0,28.0,136.0,97.0,118.0
133,233,0.5286636363636364,0.6673714285714285,0.6936199999999999,0.6911240000000001,0.6889666666666666,0.00803170731707317,0.064,-0.028500000000000008,0.6243000000000001,-0.02101176470588235,11.0,7.0,5.0,25.0,6.0,41.0,2.0,12.0,2.0,17.0
134,235,0.6525583333333335,0.31755999999999995,0.521277777777778,0.4955764705882353,0.4549,-0.09333928571428571,0.023985714285714284,-0.07441052631578945,0.07871538461538462,0.17207894736842103,24.0,10.0,9.0,17.0,12.0,28.0,7.0,19.0,13.0,19.0
135,237,0.5358204007285975,0.5340573099415205,0.49376694214876,0.5828969178082195,0.5309408997955012,-0.0003378681626928471,-0.0027334928229664985,-0.02422787878787879,0.031111555555555552,0.05626802168021679,549.0,171.0,121.0,584.0,489.0,713.0,209.0,330.0,225.0,369.0
136,238,0.5428638888888888,0.49838941176470586,0.5336805194805194,0.44079025069637856,0.5838566929133854,-0.0864875,-0.08667020408163262,-0.10758028846153841,-0.1443965616045843,0.005429629629629625,324.0,85.0,77.0,359.0,127.0,288.0,245.0,208.0,349.0,135.0
137,239,0.4997133333333334,0.3150090909090909,0.21836249999999996,0.40460571428571424,0.4374863636363637,-0.09226969696969699,-0.2653,-0.08144814814814817,-0.09546153846153846,0.15786875,30.0,11.0,8.0,35.0,22.0,33.0,7.0,27.0,13.0,16.0
138,243,0.44933371150729334,0.3211593749999995,0.3355330065359471,0.38643669354838706,0.42498351063829776,-0.07673250664304702,-0.09377916666666683,-0.13158183807439827,-0.18141040118870722,-0.10862320675105488,617.0,288.0,306.0,496.0,376.0,1129.0,888.0,914.0,673.0,237.0
139,246,0.5200914089347086,0.4460665898617509,0.49223255033557,0.5341356751824813,0.5259143790849675,-0.025672036474164103,-0.05608811320754715,-0.06576836734693878,-0.016738054968287494,0.08908765182186236,873.0,434.0,298.0,1096.0,459.0,987.0,530.0,490.0,473.0,494.0
140,247,0.5511722727272725,0.4944839080459766,0.5466118644067797,0.6089721362229102,0.5799625,-0.029995567867035996,-0.08797954545454544,-0.06003906976744186,0.060415384615384614,0.03728830409356724,220.0,174.0,59.0,323.0,128.0,361.0,44.0,215.0,65.0,171.0
141,249,0.46679230769230773,0.0,0.395,0.46418333333333334,0.43744999999999995,-0.13203333333333334,-0.3929333333333333,0.015390909090909101,-0.25837499999999997,-0.021999999999999985,13.0,1.0,3.0,6.0,6.0,12.0,3.0,11.0,4.0,5.0
142,250,0.46777472527472524,0.23292142857142858,0.39225517241379315,0.43528333333333324,0.5084780487804879,-0.05185811965811964,-0.0460875,-0.10978717948717946,-0.07583333333333335,-0.03714883720930232,91.0,28.0,29.0,72.0,41.0,117.0,40.0,78.0,42.0,43.0
143,251,0.5740466666666666,0.6743600000000001,0.6536199999999999,0.2918636363636363,0.3514833333333333,0.16306249999999994,-0.1877,0.013574999999999995,0.2323777777777778,0.14637142857142857,15.0,5.0,5.0,11.0,6.0,16.0,1.0,12.0,9.0,7.0
144,258,0.45271666666666666,0.0,0.0,0.5406,0.6686000000000001,0.02385666666666666,-0.26335,-0.15224,-0.13448,-0.2224,6.0,1.0,0.0,4.0,2.0,30.0,2.0,15.0,5.0,5.0
145,260,0.33373333333333327,0.3953,0.0,0.808925,0.1531,0.1770666666666667,-0.6808,-0.4767,0.0,0.3818,3.0,2.0,0.0,4.0,1.0,6.0,1.0,1.0,1.0,1.0
