,Ticker Symbol,Ticker Sector,Ticker Industry,Company Id,Company URL,company_name,count
3085,nasdaq:ffbc,Financials,Banks,1410,"https://www.glassdoor.com/Overview/Working-at-First-Financial-Bancorp-EI_IE1410.11,34.htm",First Financial Bancorp,23
3086,nasdaq:tzoo,Consumer Services,Travel & Leisure,14422,"https://www.glassdoor.com/Overview/Working-at-Travelzoo-EI_IE14422.11,20.htm",Travelzoo,40
3087,nyse:bmi,Industrials,Electronic & Electrical Equipment,777,"https://www.glassdoor.com/Overview/Working-at-Badger-Meter-EI_IE777.11,23.htm",Badger Meter,17
3088,nyse:cbl,Financials,General Financial,2378,"https://www.glassdoor.com/Overview/Working-at-CBL-and-Associates-Properties-EI_IE2378.11,40.htm",CBL and Associates Properties,14
3089,nyse:cmp,Basic Materials,Mining,14034,"https://www.glassdoor.com/Overview/Working-at-Compass-Minerals-EI_IE14034.11,27.htm",Compass Minerals,32
3090,nyse:cps,Consumer Goods,Automobiles & Parts,13563,"https://www.glassdoor.com/Overview/Working-at-Cooper-Standard-Automotive-EI_IE13563.11,37.htm",Cooper Standard Automotive,54
3091,nyse:drq,Oil & Gas,"Oil Equipment, Services & Distribution",7114,"https://www.glassdoor.com/Overview/Working-at-Dril-Quip-EI_IE7114.11,20.htm",Dril Quip,45
3092,nyse:gwb,Financials,Banks,23341,"https://www.glassdoor.com/Overview/Working-at-Great-Western-Bancorp-EI_IE23341.11,32.htm",Great Western Bancorp,33
3093,nyse:rwt,Financials,General Financial,4445,"https://www.glassdoor.com/Overview/Working-at-Redwood-Trust-EI_IE4445.11,24.htm",Redwood Trust,13
3094,nyse:sxe,Oil & Gas,"Oil Equipment, Services & Distribution",653284,"https://www.glassdoor.com/Overview/Working-at-Southcross-Energy-EI_IE653284.11,28.htm",Southcross Energy,6
3095,nyse:tds,Telecommunications,Mobile Telecommunications,42603,"https://www.glassdoor.com/Overview/Working-at-OneNeck-EI_IE42603.11,18.htm",OneNeck,47
